date,code,name,store_name,value
2023-01-08,8,米,inada,"37,182"
2023-01-08,8,米,otofuke,"69,491"
2023-01-08,8,米,ekimae,"54,237"
2023-01-08,55,タバコ,inada,"53,362"
2023-01-08,55,タバコ,otofuke,"23,112"
2023-01-08,55,タバコ,ekimae,"56,434"
2023-01-08,74,飲料,inada,"147,073"
2023-01-08,74,飲料,otofuke,"169,550"
2023-01-08,74,飲料,ekimae,"282,902"
2023-01-08,9,酒類,inada,"105,166"
2023-01-08,9,酒類,otofuke,"117,689"
2023-01-08,9,酒類,ekimae,"257,496"
2023-01-08,273,ワイン,inada,"9,743"
2023-01-08,273,ワイン,otofuke,"16,098"
2023-01-08,273,ワイン,ekimae,"143,478"
2023-01-08,274,ビール類,inada,"119,843"
2023-01-08,274,ビール類,otofuke,"93,605"
2023-01-08,274,ビール類,ekimae,"207,596"
2023-01-09,1,菓　子,inada,"153,547"
2023-01-09,1,菓　子,otofuke,"186,691"
2023-01-09,1,菓　子,ekimae,"419,046"
2023-01-09,2,嗜好品,inada,"61,141"
2023-01-09,2,嗜好品,otofuke,"68,772"
2023-01-09,2,嗜好品,ekimae,"142,258"
2023-01-09,3,調味料,inada,"136,691"
2023-01-09,3,調味料,otofuke,"183,789"
2023-01-09,3,調味料,ekimae,"198,064"
2023-01-09,4,調理素材,inada,"23,645"
2023-01-09,4,調理素材,otofuke,"30,452"
2023-01-09,4,調理素材,ekimae,"43,582"
2023-01-09,5,クイックフーズ,inada,"150,785"
2023-01-09,5,クイックフーズ,otofuke,"171,814"
2023-01-09,5,クイックフーズ,ekimae,"292,391"
2023-01-09,6,グロサリーギフト,otofuke,"5,400"
2023-01-09,6,グロサリーギフト,ekimae,"12,842"
2023-01-09,7,銘店,inada,500
2023-01-09,7,銘店,otofuke,"8,130"
2023-01-09,7,銘店,ekimae,"12,424"
2023-01-09,8,米,inada,"80,184"
2023-01-09,8,米,otofuke,"81,707"
2023-01-09,8,米,ekimae,"55,491"
2023-01-09,55,タバコ,inada,"46,930"
2023-01-09,55,タバコ,otofuke,"32,690"
2023-01-09,55,タバコ,ekimae,"70,155"
2023-01-09,74,飲料,inada,"124,547"
2023-01-09,74,飲料,otofuke,"145,153"
2023-01-09,74,飲料,ekimae,"302,065"
2023-01-09,9,酒類,inada,"76,308"
2023-01-09,9,酒類,otofuke,"94,530"
2023-01-09,9,酒類,ekimae,"248,009"
2023-01-09,273,ワイン,inada,"11,165"
2023-01-09,273,ワイン,otofuke,"15,701"
2023-01-09,273,ワイン,ekimae,"64,825"
2023-01-09,274,ビール類,inada,"108,334"
2023-01-09,274,ビール類,otofuke,"115,747"
2023-01-09,274,ビール類,ekimae,"187,679"
2023-01-10,1,菓　子,inada,"249,085"
2023-01-10,1,菓　子,otofuke,"195,025"
2023-01-10,1,菓　子,ekimae,"650,647"
2023-01-10,2,嗜好品,inada,"120,719"
2023-01-10,2,嗜好品,otofuke,"79,223"
2023-01-10,2,嗜好品,ekimae,"286,970"
2023-01-10,3,調味料,inada,"226,666"
2023-01-10,3,調味料,otofuke,"173,273"
2023-01-10,3,調味料,ekimae,"328,987"
2023-01-10,4,調理素材,inada,"34,147"
2023-01-10,4,調理素材,otofuke,"29,573"
2023-01-10,4,調理素材,ekimae,"75,967"
2023-01-10,5,クイックフーズ,inada,"223,464"
2023-01-10,5,クイックフーズ,otofuke,"174,305"
2023-01-10,5,クイックフーズ,ekimae,"411,031"
2023-01-10,6,グロサリーギフト,otofuke,"2,400"
